./images\14152.png,33,4,46,38,8
./images\14152.png,45,8,57,42,10
./images\15081.png,97,15,149,111,5
./images\15081.png,161,25,215,121,6
./images\252.png,-1,26,15,60,3
./images\252.png,12,17,36,51,7
./images\252.png,34,6,63,40,10
./images\1270.png,73,19,90,50,3
./images\1270.png,92,15,106,46,3
./images\1270.png,111,15,125,46,10
./images\1270.png,128,17,143,48,10
./images\26754.png,24,4,33,25,1
./images\26754.png,32,7,43,28,1
./images\5288.png,24,2,36,29,1
./images\5288.png,36,4,54,31,4
./images\5288.png,53,3,66,30,6
./images\5288.png,66,3,87,30,7
./images\5791.png,23,5,30,25,3
./images\24023.png,63,1,94,58,2
./images\24023.png,92,4,110,61,1
./images\2589.png,114,75,133,134,6
./images\2589.png,127,52,156,111,1
./images\2589.png,137,45,161,104,6
./images\2589.png,147,32,187,91,1
./images\2649.png,55,10,82,54,2
./images\2649.png,82,8,102,52,1
./images\2649.png,102,9,124,53,7
./images\2649.png,125,11,146,55,9
./images\17492.png,13,1,20,17,2
./images\17492.png,20,1,26,17,2
./images\28740.png,68,26,87,73,1
./images\28740.png,87,21,110,68,10
./images\28740.png,113,17,130,64,1
./images\160.png,49,9,57,36,2
./images\160.png,59,11,67,38,10
./images\160.png,70,11,83,38,8
./images\16916.png,87,33,103,63,6
./images\16916.png,100,36,113,66,3
./images\16916.png,112,34,127,64,3
./images\18745.png,48,9,69,45,3
./images\26279.png,16,1,23,15,2
./images\26279.png,23,1,29,15,2
./images\14728.png,66,12,110,82,3
./images\14728.png,112,10,162,80,2
./images\21961.png,23,2,31,26,1
./images\21961.png,33,2,47,26,10
./images\21961.png,47,2,55,26,1
./images\31681.png,54,17,83,62,4
./images\31681.png,83,13,120,58,3
./images\4005.png,51,7,70,58,9
./images\15932.png,28,5,43,29,3
./images\3706.png,26,3,36,27,3
./images\3706.png,35,4,44,28,2
./images\16240.png,40,5,59,45,1
./images\16240.png,58,4,80,44,8
./images\16240.png,79,9,101,49,9
./images\28161.png,30,4,36,34,1
./images\28161.png,36,3,47,33,7
./images\1295.png,141,61,172,113,2
./images\1295.png,168,61,185,113,1
./images\12708.png,44,16,60,47,7
./images\12708.png,59,11,75,42,10
./images\16621.png,48,17,64,44,4
./images\17102.png,50,20,59,35,1
./images\17102.png,59,20,70,35,4
./images\17102.png,71,18,81,33,10
./images\28570.png,13,3,23,19,2
./images\28570.png,22,3,31,19,6
./images\28570.png,30,3,38,19,4
./images\28570.png,36,1,46,17,9
./images\13683.png,192,37,266,196,3
./images\13683.png,275,34,377,193,8
./images\3899.png,42,11,58,37,6
./images\3899.png,59,11,72,37,7
./images\18060.png,45,9,56,46,1
./images\18060.png,57,10,77,47,8
./images\18060.png,78,12,100,49,4
./images\9399.png,30,4,43,34,3
./images\9399.png,43,5,51,35,1
./images\16225.png,20,4,29,25,4
./images\16225.png,29,2,40,23,6
./images\27286.png,26,4,40,32,4
./images\27286.png,42,2,59,30,9
./images\22619.png,189,70,217,108,1
./images\22619.png,206,67,231,105,9
./images\22619.png,227,70,257,108,1
./images\2863.png,80,13,100,66,3
./images\2863.png,99,9,112,62,6
./images\2863.png,119,5,135,58,7
./images\29825.png,23,4,35,25,3
./images\29825.png,33,5,43,26,3
./images\29825.png,40,4,53,25,2
./images\6318.png,40,9,53,37,5
./images\16565.png,32,8,45,32,3
./images\18575.png,35,12,48,43,4
./images\18575.png,50,8,58,39,7
./images\17320.png,115,38,140,103,4
./images\17320.png,136,39,164,104,10
./images\17320.png,167,36,189,101,9
./images\22240.png,49,10,85,68,3
./images\22240.png,81,7,110,65,6
./images\29358.png,47,15,62,45,2
./images\29358.png,62,12,77,42,8
./images\29358.png,76,11,91,41,3
./images\10866.png,30,1,42,32,1
./images\10866.png,42,2,57,33,2
./images\10866.png,57,2,73,33,7
./images\20105.png,2,4,12,28,3
./images\20105.png,17,6,31,30,4
./images\20105.png,34,6,42,30,1
./images\20484.png,42,6,66,47,3
./images\20484.png,67,10,87,51,3
./images\2547.png,42,6,61,41,5
./images\6014.png,43,13,54,39,1
./images\6014.png,54,11,74,37,3
./images\30087.png,22,2,36,25,7
./images\22800.png,32,6,43,35,3
./images\22800.png,46,9,54,38,8
./images\22800.png,55,9,65,38,3
./images\22800.png,63,8,76,37,6
./images\8866.png,19,3,26,23,1
./images\8866.png,26,2,35,22,8
./images\8866.png,34,5,41,25,1
./images\8866.png,40,3,49,23,9
./images\4544.png,28,4,39,33,2
./images\4544.png,39,5,50,34,8
./images\8119.png,43,10,60,44,5
./images\8119.png,59,7,73,41,2
./images\13564.png,22,1,36,28,1
./images\13564.png,37,2,48,29,1
./images\32422.png,60,26,80,58,5
./images\32422.png,75,20,95,52,6
./images\32422.png,90,13,104,45,1
./images\8309.png,52,10,94,96,1
./images\18241.png,39,3,59,35,4
./images\32790.png,26,3,61,43,9
./images\32790.png,53,4,80,44,6
./images\2895.png,64,12,105,72,6
./images\17194.png,116,22,149,95,2
./images\17194.png,149,23,187,96,10
./images\17194.png,185,27,218,100,1
./images\17194.png,219,31,258,104,10
./images\20765.png,70,22,87,49,2
./images\20765.png,85,20,102,47,5
./images\20765.png,100,23,117,50,3
./images\27997.png,156,79,187,122,4
./images\27997.png,188,78,218,121,4
./images\27997.png,215,75,243,118,9
./images\22000.png,35,4,49,54,1
./images\22000.png,48,1,63,51,6
./images\22000.png,63,1,78,51,5
./images\30579.png,26,8,31,24,1
./images\30579.png,36,7,43,23,9
./images\16648.png,75,23,95,63,3
./images\16648.png,94,20,113,60,6
./images\16648.png,113,22,142,62,9
./images\9885.png,38,7,51,32,2
./images\9885.png,49,8,60,33,5
./images\9885.png,60,8,71,33,9
./images\9885.png,71,8,81,33,4
./images\3078.png,63,16,80,76,1
./images\3078.png,79,12,94,72,1
./images\3078.png,90,6,111,66,5
./images\247.png,13,1,24,17,2
./images\15288.png,23,7,34,32,1
./images\15288.png,33,6,44,31,2
./images\15288.png,42,6,53,31,5
./images\4770.png,14,2,22,15,2
./images\4770.png,22,2,29,15,9
./images\4770.png,29,2,36,15,4
./images\1863.png,54,13,74,54,3
./images\1863.png,72,11,91,52,10
./images\1863.png,91,7,110,48,5
./images\13738.png,18,4,26,22,1
./images\13738.png,28,3,38,21,7
./images\24490.png,73,30,104,80,3
./images\24490.png,104,24,131,74,6
./images\24490.png,128,20,166,70,10
./images\16507.png,33,8,45,35,5
./images\31713.png,22,1,39,28,3
./images\31713.png,38,2,52,29,4
./images\16322.png,39,10,54,40,1
./images\16322.png,50,8,66,38,7
./images\18846.png,49,13,78,66,2
./images\18846.png,76,7,101,60,7
./images\17507.png,120,27,181,132,4
./images\27808.png,19,2,29,23,4
./images\27808.png,26,3,37,24,5
./images\15136.png,30,5,42,34,2
./images\15136.png,39,6,49,35,7
./images\26480.png,17,4,23,21,1
./images\26480.png,22,3,29,20,2
./images\26480.png,28,3,35,20,5
./images\26480.png,36,1,46,18,4
./images\14421.png,83,31,107,73,1
./images\14421.png,110,33,135,75,8
./images\14421.png,138,28,162,70,10
./images\24378.png,31,3,42,30,2
./images\24378.png,40,4,51,31,4
./images\24378.png,51,5,61,32,5
./images\24378.png,60,6,71,33,8
./images\32684.png,81,17,125,94,4
./images\32684.png,132,20,179,97,10
./images\21284.png,34,8,48,46,4
./images\21284.png,49,7,61,45,8
./images\29564.png,54,7,92,67,2
./images\29564.png,93,7,132,67,9
./images\25408.png,34,8,57,43,2
./images\25408.png,59,5,75,40,9
./images\19548.png,38,11,57,44,2
./images\25626.png,112,63,133,108,1
./images\25626.png,128,65,153,110,8
./images\25626.png,148,66,174,111,4
./images\4129.png,71,16,106,66,3
./images\4129.png,114,15,138,65,1
./images\4129.png,154,16,182,66,6
./images\2524.png,63,39,88,84,3
./images\2524.png,86,23,107,68,7
./images\2524.png,105,11,131,56,5
./images\15067.png,25,1,39,31,9
./images\15067.png,37,2,50,32,9
./images\24269.png,55,12,75,52,3
./images\24269.png,77,15,94,55,9
./images\5540.png,22,1,30,15,1
./images\5540.png,31,2,38,16,2
./images\3197.png,26,4,36,29,2
./images\3197.png,38,2,44,27,1
./images\13201.png,26,5,40,29,2
./images\13201.png,38,4,53,28,10
./images\13201.png,53,3,67,27,8
./images\13201.png,66,1,79,25,2
./images\21715.png,21,7,27,18,2
./images\21715.png,27,7,33,18,7
./images\30877.png,21,4,32,21,2
./images\30877.png,31,3,41,20,10
./images\30877.png,41,3,51,20,7
./images\30877.png,52,4,61,21,8
./images\11399.png,39,9,49,37,1
./images\11399.png,52,9,62,37,1
./images\18893.png,47,9,66,59,1
./images\18893.png,64,4,79,54,1
./images\18893.png,78,2,99,52,4
./images\20706.png,48,7,67,42,2
./images\22071.png,13,2,21,14,8
./images\22071.png,23,2,30,14,4
./images\26435.png,75,32,105,96,9
./images\26435.png,107,7,143,71,4
./images\26435.png,144,1,176,65,4
./images\6104.png,35,8,46,37,4
./images\6104.png,46,6,56,35,8
./images\2133.png,104,100,122,144,4
./images\2133.png,120,102,132,146,2
./images\2133.png,130,100,147,144,6
./images\15235.png,13,1,20,17,1
./images\15235.png,20,1,30,17,3
./images\17124.png,23,5,27,23,1
./images\17124.png,29,3,39,21,3
./images\26441.png,25,5,35,28,9
./images\26441.png,37,6,48,29,2
./images\5158.png,27,4,39,24,7
./images\5158.png,40,4,52,24,10
./images\22004.png,120,31,147,102,1
./images\22004.png,159,28,201,99,3
./images\17587.png,52,17,75,50,4
./images\17587.png,72,18,96,51,5
./images\23025.png,149,9,173,66,2
./images\23025.png,180,23,210,80,5
./images\23025.png,215,20,247,77,10
./images\24711.png,19,3,27,25,1
./images\24711.png,26,4,34,26,9
./images\24711.png,35,3,43,25,3
./images\24711.png,43,3,51,25,8
./images\33369.png,30,3,39,44,1
./images\33369.png,42,5,55,46,10
./images\33369.png,55,7,70,48,9
./images\27398.png,46,5,64,44,4
./images\27398.png,65,5,84,44,9
./images\27398.png,86,9,102,48,10
./images\18880.png,53,11,68,52,1
./images\18880.png,73,15,102,56,10
./images\18880.png,107,18,131,59,6
./images\32033.png,51,9,78,65,2
./images\32033.png,77,11,106,67,2
./images\2910.png,203,102,230,148,3
./images\2910.png,224,102,247,148,9
./images\2910.png,240,96,261,142,10
./images\8697.png,66,15,80,67,1
./images\8697.png,82,18,104,70,3
./images\29150.png,12,1,18,12,1
./images\29150.png,17,1,25,12,10
./images\18674.png,39,10,53,38,3
./images\310.png,19,4,32,24,6
./images\310.png,32,3,44,23,8
./images\24729.png,21,3,24,24,1
./images\24729.png,23,3,29,24,5
./images\24729.png,30,1,36,22,10
./images\9698.png,109,5,138,57,10
./images\2006.png,36,4,48,42,1
./images\2006.png,50,6,62,44,1
./images\1427.png,57,11,81,74,1
./images\1427.png,79,12,117,75,3
./images\17152.png,10,9,27,38,2
./images\17152.png,28,9,42,38,10
./images\989.png,34,8,50,36,3
./images\989.png,49,8,65,36,7
./images\989.png,65,8,83,36,9
./images\3428.png,32,4,45,37,1
./images\30571.png,16,1,29,22,3
./images\30571.png,29,1,40,22,3
./images\26438.png,21,4,30,25,3
./images\26438.png,31,3,41,24,6
./images\26438.png,41,4,49,25,9
./images\29190.png,145,46,190,139,8
./images\13275.png,62,18,81,51,4
./images\13275.png,83,16,100,49,7
./images\13275.png,104,12,122,45,8
./images\27786.png,54,16,69,53,2
./images\27786.png,64,10,75,47,1
./images\27786.png,72,14,86,51,2
./images\16545.png,27,4,44,29,2
./images\16545.png,40,4,56,29,9
./images\16545.png,57,2,71,27,4
./images\27197.png,29,11,41,27,2
./images\3068.png,60,10,96,78,8
./images\3068.png,95,13,129,81,6
./images\30845.png,17,6,23,19,2
./images\30845.png,22,5,29,18,4
./images\5501.png,22,1,36,27,9
./images\15017.png,38,13,47,38,1
